Rank,ENSEMBL,Symbol,Gene_Name,HR,P_value
48,ENSG00000112335.15,SNX3,sorting nexin 3,23.3935159,1.87603923859659e-05
42,ENSG00000169764.16,UGP2,UDP-glucose pyrophosphorylase 2,7.250412793,1.44213064194385e-05
13,ENSG00000177119.16,ANO6,anoctamin 6,6.466476994,1.22730233488831e-06
46,ENSG00000155090.15,KLF10,KLF transcription factor 10,6.404571853,1.71365538909556e-05
3,ENSG00000134531.10,EMP1,epithelial membrane protein 1,4.755904672,3.72667482643748e-07
47,ENSG00000099250.18,NRP1,neuropilin 1,4.197573095,1.80794794309353e-05
18,ENSG00000112769.20,LAMA4,laminin subunit alpha 4,3.977644923,3.00588913230646e-06
32,ENSG00000109686.19,SH3D19,SH3 domain containing 19,3.703602182,7.84392691370426e-06
16,ENSG00000144476.6,ACKR3,atypical chemokine receptor 3,3.336963339,2.0845593305943e-06
24,ENSG00000170145.5,SIK2,salt inducible kinase 2,3.084567731,4.37833270042072e-06
6,ENSG00000108960.9,MMD,monocyte to macrophage differentiation associated,2.910328676,5.66507651560903e-07
20,ENSG00000174804.4,FZD4,frizzled class receptor 4,2.900305691,3.05639165326483e-06
41,ENSG00000151726.15,ACSL1,acyl-CoA synthetase long chain family member 1,2.720536853,1.39468699092125e-05
17,ENSG00000074416.14,MGLL,monoglyceride lipase,2.680957373,2.86696411326068e-06
2,ENSG00000151468.11,CCDC3,coiled-coil domain containing 3,2.669354524,1.68423177083115e-07
38,ENSG00000101955.15,SRPX,sushi repeat containing protein X-linked,2.472417774,1.16246812616163e-05
26,ENSG00000124212.6,PTGIS,prostaglandin I2 synthase,2.405617424,4.6401732028728e-06
50,ENSG00000162733.19,DDR2,discoidin domain receptor tyrosine kinase 2,2.345527044,2.12043816639833e-05
33,ENSG00000106823.12,ECM2,extracellular matrix protein 2,2.271059223,9.4890870327585e-06
11,ENSG00000068976.14,PYGM,"glycogen phosphorylase, muscle associated",2.250148568,1.01296390849393e-06
29,ENSG00000131016.17,AKAP12,A-kinase anchoring protein 12,2.23591421,6.36702256029824e-06
15,ENSG00000102802.10,MEDAG,mesenteric estrogen dependent adipogenesis,2.193101005,1.95957277172924e-06
34,ENSG00000154553.16,PDLIM3,PDZ and LIM domain 3,2.165876685,9.7480834636427e-06
9,ENSG00000101605.13,MYOM1,myomesin 1,2.1545049,8.23519137219533e-07
36,ENSG00000131471.7,AOC3,amine oxidase copper containing 3,2.121274896,1.04903781961473e-05
27,ENSG00000182118.8,FAM89A,family with sequence similarity 89 member A,2.111259433,4.87733558734888e-06
12,ENSG00000119927.14,GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",2.093949752,1.04409067872749e-06
10,ENSG00000138356.14,AOX1,aldehyde oxidase 1,2.077450043,9.3868260147749e-07
31,ENSG00000169418.10,NPR1,natriuretic peptide receptor 1,2.045090853,7.14275046305283e-06
21,ENSG00000112964.14,GHR,growth hormone receptor,2.02550893,3.27535774400898e-06
19,ENSG00000022267.19,FHL1,four and a half LIM domains 1,1.956950751,3.03589380338524e-06
28,ENSG00000106511.6,MEOX2,mesenchyme homeobox 2,1.9468861,5.7276293535322e-06
39,ENSG00000135424.18,ITGA7,integrin subunit alpha 7,1.891952656,1.32497336539698e-05
1,ENSG00000133800.9,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,1.851828653,1.94195385351631e-08
7,ENSG00000165810.17,BTNL9,butyrophilin like 9,1.848602334,5.66922273016504e-07
5,ENSG00000173641.18,HSPB7,heat shock protein family B (small) member 7,1.757274731,4.94934544562213e-07
45,ENSG00000168477.19,TNXB,tenascin XB,1.723994298,1.68071381660053e-05
25,ENSG00000114200.10,BCHE,butyrylcholinesterase,1.693133486,4.62730576712898e-06
40,ENSG00000004776.13,HSPB6,heat shock protein family B (small) member 6,1.672225588,1.35424895142069e-05
23,ENSG00000124253.11,PCK1,phosphoenolpyruvate carboxykinase 1,1.66500968,4.02928848553954e-06
35,ENSG00000120049.20,KCNIP2,potassium voltage-gated channel interacting protein 2,1.651630824,1.02846589891781e-05
30,ENSG00000135917.16,SLC19A3,solute carrier family 19 member 3,1.620378748,6.52614397761924e-06
14,ENSG00000173272.16,MZT2A,mitotic spindle organizing protein 2A,0.384997871,1.3792783425849e-06
8,ENSG00000079462.8,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,0.32191382,6.67253379055546e-07
22,ENSG00000152082.15,MZT2B,mitotic spindle organizing protein 2B,0.287463899,3.5517086691082e-06
44,ENSG00000168101.14,NUDT16L1,nudix hydrolase 16 like 1,0.244655872,1.64643345111175e-05
43,ENSG00000169689.15,CENPX,centromere protein X,0.237004363,1.47375493906484e-05
37,ENSG00000159363.19,ATP13A2,ATPase cation transporting 13A2,0.163179005,1.11695616983154e-05
49,ENSG00000183207.14,RUVBL2,RuvB like AAA ATPase 2,0.147083773,1.91630642926328e-05
4,ENSG00000100911.16,PSME2,proteasome activator subunit 2,0.076511138,4.04515894884887e-07